--	Center	Openings	Link1	Link2	Link3	Link4	Link5	Link6	Status	Checksum
Blank	4	BBBBBBB	BBBBBBB	PDBSDBD	BHSSTBC	SBHHDHT	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBPDBSDBDBHSSTBCSBHHDHTBBBBBBB
Hex	4,5,6	BBBBBBB	BBBBBBB	PHCCSHD	TCTCBDC	STHTCHS	BTBDBSP	UNIQUE	BBBBBBBBBBBBBBPHCCSHDTCTCBDCSTHTCHSBTBDBSP
Blank	5	BBBBBBB	BBBBBBB	SCHHCPT	PDBCHDD	HPHBPHS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBSCHHCPTPDBCHDDHPHBPHSBBBBBBB
Diamond	3,4,5	BBBBBBB	BBBBBBB	SSTDCPS	PCTHHDH	HSSSPPS	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBSSTDCPSPCTHHDHHSSSPPSBBBBBBB
Blank	3	BBBBBBB	BBBBBBB	SSTHDBT	CSDBPSD	CPSSCPC	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBSSTHDBTCSDBPSDCPSSCPCBBBBBBB
Blank	3,5	BBBBBBB	BBBBBBB	TTPPBPD	SPPPSHS	HPDSPCT	BBBBBBB	UNIQUE	BBBBBBBBBBBBBBTTPPBPDSPPPSHSHPDSPCTBBBBBBB
Blank	2,6	BBBBBBB	CBPDHHC	HHBSHCP	SDTCSPD	HHHPBDT	HHBCPPH	UNIQUE	BBBBBBBCBPDHHCHHBSHCPSDTCSPDHHHPBDTHHBCPPH
Blank	3	BBBBBBB	CPSSCPC	BCHHCHT	SDHBBBB	BSPTBSH	SDTSHCT	UNIQUE	BBBBBBBCPSSCPCBCHHCHTSDHBBBBBSPTBSHSDTSHCT
Blank	3	BBBBBBB	CTPSBTT	SHCDSPT	BPCPHTD	BHTBDHD	CHBSCDT	UNIQUE	BBBBBBBCTPSBTTSHCDSPTBPCPHTDBHTBDHDCHBSCDT
Clover	2,3,4,5	BBBBBBB	DBCBDTS	HBTCTHS	HPHTCTH	DSSSDDC	CSHBBSH	UNIQUE	BBBBBBBDBCBDTSHBTCTHSHPHTCTHDSSSDDCCSHBBSH
Blank	2,6	BBBBBBB	HBSTDHC	PCDTHCB	BBSCDCT	BTDBPCT	SSTDCPS	UNIQUE	BBBBBBBHBSTDHCPCDTHCBBBSCDCTBTDBPCTSSTDCPS
Blank	2,5	BBBBBBB	HDSTHHT	HSTSTCC	BBPCBBS	PBDSPTB	SHHBPHB	UNIQUE	BBBBBBBHDSTHHTHSTSTCCBBPCBBSPBDSPTBSHHBPHB
Blank	2,3,4,6	BBBBBBB	HTCSHBS	PPBHPSS	HSDDBPC	PDCTHHS	BPSCDSC	UNIQUE	BBBBBBBHTCSHBSPPBHPSSHSDDBPCPDCTHHSBPSCDSC
Diamond	3,5,6	BBBBBBB	HTHDTTS	BCDSPTD	BPHHTCC	DPTHBPT	DPCDDDP	UNIQUE	BBBBBBBHTHDTTSBCDSPTDBPHHTCCDPTHBPTDPCDDDP
Plus	3,5	BBBBBBB	SBHHDHT	SHDSBSB	TBTCBTP	DPSSHHT	CPSHHDH	UNIQUE	BBBBBBBSBHHDHTSHDSBSBTBTCBTPDPSSHHTCPSHHDH
Blank	2,3,5	BBBBBBB	SBTBBDH	HBCHTBD	PBCBDBT	DTDSPTH	CHBDBCD	UNIQUE	BBBBBBBSBTBBDHHBCHTBDPBCBDBTDTDSPTHCHBDBCD
Blank	2,6	BBBBBBB	TBPSPDS	HBPHTSD	BTBBCBB	PDTBSTC	CHSHTDD	UNIQUE	BBBBBBBTBPSPDSHBPHTSDBTBBCBBPDTBSTCCHSHTDD
Plus	2,6	BBBBBBB	TDBSCPP	DBHPBPD	BBDTHPH	SDDPSHP	BCSPSCB	UNIQUE	BBBBBBBTDBSCPPDBHPBPDBBDTHPHSDDPSHPBCSPSCB
Hex	1,2,4	BBBBBSC	HBSSBST	HCPHPPT	CTSBBCB	BBBBBBB	BBBBBBB	UNIQUE	BBBBBSCHBSSBSTHCPHPPTCTSBBCBBBBBBBBBBBBBBB
Blank	1,3	BBBBBTS	SSBSBSP	HHDHPTS	PCCDPDS	DDBDDPH	PTDHPCH	UNIQUE	BBBBBTSSSBSBSPHHDHPTSPCCDPDSDDBDDPHPTDHPCH
Blank	4,6	BBBCCSS	HHHTHBD	CBCSBSD	TCHTSTC	PBDSBDS	TPBCDST	UNIQUE	BBBCCSSHHHTHBDCBCSBSDTCHTSTCPBDSBDSTPBCDST
Blank	1	BBBCPDT	TDSSHTP	DHSSSHP	TTCCPBC	DPDPBCT	BBTDBSB	UNIQUE	BBBCPDTTDSSHTPDHSSSHPTTCCPBCDPDPBCTBBTDBSB
Blank	5	BBBDPBD	HHHBPDP	HTTDHDD	HHCPSPB	SBCTSBT	HTHHPBC	UNIQUE	BBBDPBDHHHBPDPHTTDHDDHHCPSPBSBCTSBTHTHHPBC
Blank	1,4	BBBHCHS	SDDCBDD	BDTSCSC	CHCPTSS	CDTHPHS	THDHTSP	UNIQUE	BBBHCHSSDDCBDDBDTSCSCCHCPTSSCDTHPHSTHDHTSP
Blank	5	BBBPCBB	STSBDPH	HPCCPCD	SHTTBTH	PCSBHTP	THBHTHP	UNIQUE	BBBPCBBSTSBDPHHPCCPCDSHTTBTHPCSBHTPTHBHTHP
Blank	4	BBBPDCH	HDPHCPH	HCHSCTS	PBDSCBB	HCHBBTD	HBBSPSD	UNIQUE	BBBPDCHHDPHCPHHCHSCTSPBDSCBBHCHBBTDHBBSPSD
Blank	5	BBBPHTC	HPSPTHC	PCSTDPS	SDHDBDB	HHCPTBD	CHDCHDB	UNIQUE	BBBPHTCHPSPTHCPCSTDPSSDHDBDBHHCPTBDCHDCHDB
Blank	2,3,6	BBBPHTC	DCCHHTC	BSBSBBB	DBDPPHD	DBDSDCH	BCDHTHS	UNIQUE	BBBPHTCDCCHHTCBSBSBBBDBDPPHDDBDSDCHBCDHTHS
Blank	1	BBBTCTD	PDSPPSD	PDSPSHH	DHPSTDS	HCSCPBD	BHSDBSP	UNIQUE	BBBTCTDPDSPPSDPDSPSHHDHPSTDSHCSCPBDBHSDBSP
Blank	3	BBCBPSB	PTHCTDP	SPHDSPS	HCPDCSH	BBPPDTP	TSDPHSH	UNIQUE	BBCBPSBPTHCTDPSPHDSPSHCPDCSHBBPPDTPTSDPHSH
Blank	1,3	BBCCHHC	SPDPHDT	SDSTTPP	HBCCSPH	DTHSHTS	HHHCCHS	UNIQUE	BBCCHHCSPDPHDTSDSTTPPHBCCSPHDTHSHTSHHHCCHS
Blank	2,6	BBCDHHC	HTBDPHD	BBBBBBB	BBBBBBB	BBBBBBB	SDTPTPD	UNIQUE	BBCDHHCHTBDPHDBBBBBBBBBBBBBBBBBBBBBSDTPTPD
Blank	1,4,5	BBCPSDS	PCHCBBC	PCPCBCC	CCHDPHD	DSHDBCT	SPHCCPT	UNIQUE	BBCPSDSPCHCBBCPCPCBCCCCHDPHDDSHDBCTSPHCCPT
Clover	4	BBDHTBC	PPDHPBD	TSCCCHD	BCHPPCT	BCSBCPB	TBCDTSH	UNIQUE	BBDHTBCPPDHPBDTSCCCHDBCHPPCTBCSBCPBTBCDTSH
Hex	3	BBDPBPP	PDDHTTB	SSHPHDP	CHCBPSH	CHPSBSS	SBCBSBB	UNIQUE	BBDPBPPPDDHTTBSSHPHDPCHCBPSHCHPSBSSSBCBSBB
Plus	1,3,4	BBDPSSS	DSTBSDB	SHTCCTT	TBDTSTH	STTCHPH	BBTBSHB	UNIQUE	BBDPSSSDSTBSDBSHTCCTTTBDTSTHSTTCHPHBBTBSHB
Snake	3	BBDSBTP	TBBHSBS	DSCBBBC	SCDDBPC	SBHPPHP	CPDPPHD	UNIQUE	BBDSBTPTBBHSBSDSCBBBCSCDDBPCSBHPPHPCPDPPHD
Blank	1,5,6	BBDSHCP	PHHTBDB	CHBSHSC	BPDDBBH	CSHCBDD	SHDDDHS	UNIQUE	BBDSHCPPHHTBDBCHBSHSCBPDDBBHCSHCBDDSHDDDHS
Blank	1,3,5,6	BBDSPSD	CHDBBBH	SBDBCTD	TCCPCSD	STSBHHD	THTSDTP	UNIQUE	BBDSPSDCHDBBBHSBDBCTDTCCPCSDSTSBHHDTHTSDTP
Blank	3	BBDSSPH	PTBSHDD	HSBTBPC	HCPTDHP	BTDHTDS	CCSPBCD	UNIQUE	BBDSSPHPTBSHDDHSBTBPCHCPTDHPBTDHTDSCCSPBCD
Blank	3,5	BBDSTHD	CDSCCDT	SCDDPPH	SCTCBDH	DDDHCDS	TSHHBHS	UNIQUE	BBDSTHDCDSCCDTSCDDPPHSCTCBDHDDDHCDSTSHHBHS
Blank	2,6	BBDSTSH	SSHCDTD	CTHSHTS	DDDHTSS	TDTTTHC	TCCSCHS	UNIQUE	BBDSTSHSSHCDTDCTHSHTSDDDHTSSTDTTTHCTCCSCHS
Blank	3,6	BBDTHPH	THSCCTB	DBCBDPT	CSSBTPH	DCDCPCC	HBBSDDB	UNIQUE	BBDTHPHTHSCCTBDBCBDPTCSSBTPHDCDCPCCHBBSDDB
Blank	3,5	BBHCTTH	TTCTTSS	SDDDSSD	DPCBSSH	TDTCSCH	CBDCTBT	UNIQUE	BBHCTTHTTCTTSSSDDDSSDDPCBSSHTDTCSCHCBDCTBT
Blank	3,6	BBHHHDB	TTCCPPP	CHCDBBD	BBBPDCH	PTTPBDS	CCHDTTD	UNIQUE	BBHHHDBTTCCPPPCHCDBBDBBBPDCHPTTPBDSCCHDTTD
Clover	1,3,4	BBHHSPB	TCSCHDC	HDSPDHB	DDHCHDP	SBSPHCB	CPDSSBD	UNIQUE	BBHHSPBTCSCHDCHDSPDHBDDHCHDPSBSPHCBCPDSSBD
Clover	6	BBHPDCD	SCCCSSB	BBBBBBB	BBBBBBB	BBBBBBB	STDDCSD	UNIQUE	BBHPDCDSCCCSSBBBBBBBBBBBBBBBBBBBBBBSTDDCSD
Blank	6	BBHPDSH	CCSDTTC	TDTBSST	CSHPDTD	CCTHBBB	BPBCTTH	UNIQUE	BBHPDSHCCSDTTCTDTBSSTCSHPDTDCCTHBBBBPBCTTH
Blank	1,3,4	BBHSDTD	STBSDST	SCBTBHT	HHDSBCD	DCPCHCS	CCBHHHC	UNIQUE	BBHSDTDSTBSDSTSCBTBHTHHDSBCDDCPCHCSCCBHHHC
Blank	3,4,6	BBHTHTD	SCTCCCC	HBDBHDS	SHDBHHT	BSPPTHC	BSSCCHS	UNIQUE	BBHTHTDSCTCCCCHBDBHDSSHDBHHTBSPPTHCBSSCCHS
Blank	2,3	BBPCBBS	BDTPCHH	HDDHSBS	PDTSDCP	DPSHBST	PSHHSTB	UNIQUE	BBPCBBSBDTPCHHHDDHSBSPDTSDCPDPSHBSTPSHHSTB
Blank	3,5	BBPHPTB	BPPSDHS	PCTHDTH	TDBPBCC	DPSHSTS	CCTSTHT	UNIQUE	BBPHPTBBPPSDHSPCTHDTHTDBPBCCDPSHSTSCCTSTHT
Blank	5,6	BBPPDPB	BBPSSHD	SBCTSST	SCSBSPB	DTTBPST	SCHHDTS	UNIQUE	BBPPDPBBBPSSHDSBCTSSTSCSBSPBDTTBPSTSCHHDTS
Clover	6	BBSCDCT	DBTBDTC	SSSDSPC	DHPHBSC	DPSHDBS	BPPTSTC	UNIQUE	BBSCDCTDBTBDTCSSSDSPCDHPHBSCDPSHDBSBPPTSTC
Blank	2,5	BBSCDPC	SDBHSSB	DSBCHSD	HHPPBSB	DHTBBHH	PDCDDCS	UNIQUE	BBSCDPCSDBHSSBDSBCHSDHHPPBSBDHTBBHHPDCDDCS
Clover	2,3,5	BBSHBDC	PPTHSCD	PDPHCSC	SHSHCDP	CBCHCDH	CDDCPBD	UNIQUE	BBSHBDCPPTHSCDPDPHCSCSHSHCDPCBCHCDHCDDCPBD
Blank	6	BBSHTDB	SCCSHCC	HPBPHTS	STCBCSS	CHCPDDC	PSCCBTB	UNIQUE	BBSHTDBSCCSHCCHPBPHTSSTCBCSSCHCPDDCPSCCBTB
Blank	2	BBTBBSH	PCDHHTT	TCSDTPB	TTTCTHB	HTDTHHD	HPDSHDC	UNIQUE	BBTBBSHPCDHHTTTCSDTPBTTTCTHBHTDTHHDHPDSHDC
Blank	2	BBTBPSD	TSDPDTT	TBPDSHH	STPSBDC	CHTHDBT	SCPHSTC	UNIQUE	BBTBPSDTSDPDTTTBPDSHHSTPSBDCCHTHDBTSCPHSTC
Blank	2,5	BBTSSPD	CSSCTCB	DBDTCBT	CTDTCHD	TBSSHSD	PTBCBBS	UNIQUE	BBTSSPDCSSCTCBDBDTCBTCTDTCHDTBSSHSDPTBCBBS
Blank	2,3	BCBHCCP	TPTTDHH	DSTPCHP	CBBTCCH	PCBTBHS	PPPTBPB	UNIQUE	BCBHCCPTPTTDHHDSTPCHPCBBTCCHPCBTBHSPPPTBPB
Plus	2,5	BCBHDBD	SDPTPHD	THPHBDB	THSBHDD	THCBHHC	HHHCBDH	UNIQUE	BCBHDBDSDPTPHDTHPHBDBTHSBHDDTHCBHHCHHHCBDH
Blank	2,3,4,5	BCBPTPB	BBDBHPC	PBTDPDH	TSTBBTC	HPTBDHB	HPTBHTT	UNIQUE	BCBPTPBBBDBHPCPBTDPDHTSTBBTCHPTBDHBHPTBHTT
Blank	5	BCBSDSH	BBBBBBB	BBBBBBB	HCDPHHB	HHPHBSD	SSDBHTS	UNIQUE	BCBSDSHBBBBBBBBBBBBBBHCDPHHBHHPHBSDSSDBHTS
Blank	1	BCBSPCD	BDDDBCT	CBDHTBP	HHBTTCB	STHCSTT	BDDTBCD	UNIQUE	BCBSPCDBDDDBCTCBDHTBPHHBTTCBSTHCSTTBDDTBCD
Blank	2,6	BCCBHDC	HDSSBCP	DDSTPCP	BSHPDBT	BPPSDHS	CCCDCCS	UNIQUE	BCCBHDCHDSSBCPDDSTPCPBSHPDBTBPPSDHSCCCDCCS
Plus	5	BCCBPBD	BPSBPCP	SPBCBCC	PHDSHSD	DCTSTCH	HCHDTBT	UNIQUE	BCCBPBDBPSBPCPSPBCBCCPHDSHSDDCTSTCHHCHDTBT
Blank	1,3,5	BCCCBST	TBBBTPS	PSPSSBT	PHSHCHT	BSPBBDH	PSTSDBT	UNIQUE	BCCCBSTTBBBTPSPSPSSBTPHSHCHTBSPBBDHPSTSDBT
Blank	3,6	BCCCPTD	BPSCBSS	TBBSCDD	TDTBCTC	CCPHBDB	BDTHDDS	UNIQUE	BCCCPTDBPSCBSSTBBSCDDTDTBCTCCCPHBDBBDTHDDS
Blank	2,5	BCCCTPB	DBSPDPT	PHDPTDC	CCTBSHC	PSBBSSD	SBDHDBH	UNIQUE	BCCCTPBDBSPDPTPHDPTDCCCTBSHCPSBBSSDSBDHDBH
Blank	4,6	BCCDTTD	HHBTTCP	CBSDBPC	SPCHPTP	PTHCTHH	STDSTTH	UNIQUE	BCCDTTDHHBTTCPCBSDBPCSPCHPTPPTHCTHHSTDSTTH
Blank	2,4	BCCPPCC	DPTSCDB	HHBCBHS	TTDBDBS	HTDTDTP	SDBTTBS	UNIQUE	BCCPPCCDPTSCDBHHBCBHSTTDBDBSHTDTDTPSDBTTBS
Blank	1	BCCPPPS	TTHSHPS	BBDCSTH	DHDHSDT	PPBSCTT	PCPDSSS	UNIQUE	BCCPPPSTTHSHPSBBDCSTHDHDHSDTPPBSCTTPCPDSSS
Blank	2,5	BCCPSBH	PPDCPDB	STCPTHH	TDPDBDS	TBBTCHB	THBDCSD	UNIQUE	BCCPSBHPPDCPDBSTCPTHHTDPDBDSTBBTCHBTHBDCSD
Blank	2,3,4,5	BCCPTPT	DTHSCCT	HBBPCBD	SSHPSHT	PPBTBHT	CBDCBHH	UNIQUE	BCCPTPTDTHSCCTHBBPCBDSSHPSHTPPBTBHTCBDCBHH
Blank	2,3,4,6	BCCTBSD	HTBDBPT	PBCCCCS	TPDSPPP	CTTPHTC	CSHSBTP	UNIQUE	BCCTBSDHTBDBPTPBCCCCSTPDSPPPCTTPHTCCSHSBTP
Blank	2,6	BCCTCSP	PBBPCTC	CBDCBCC	SBDHDHH	BHPHCHD	PSTTTBT	UNIQUE	BCCTCSPPBBPCTCCBDCBCCSBDHDHHBHPHCHDPSTTTBT
Clover	1,2	BCDDBCD	BCBPDPT	SPSHHTT	TSSTPTS	BTTTCTD	DHBHPTS	UNIQUE	BCDDBCDBCBPDPTSPSHHTTTSSTPTSBTTTCTDDHBHPTS
Blank	3,6	BCDSCCT	TBHSCBH	DBBDBTD	DDCTTCC	CTSBDTP	PPSDCPS	UNIQUE	BCDSCCTTBHSCBHDBBDBTDDDCTTCCCTSBDTPPPSDCPS
Diamond	5	BCDSSTD	HTHPHSD	TSPCHTT	BCCPTPT	DTDCBCH	SBCTSST	UNIQUE	BCDSSTDHTHPHSDTSPCHTTBCCPTPTDTDCBCHSBCTSST
Blank	3	BCDTTHP	TSSCHDP	DPHPHTB	TCHDCPT	TCTHTHC	SPPTSSC	UNIQUE	BCDTTHPTSSCHDPDPHPHTBTCHDCPTTCTHTHCSPPTSSC
Blank	2	BCDTTHT	HBHSHHH	DDCPPDC	PPPTPSC	HHTPCTP	DTHSSSP	UNIQUE	BCDTTHTHBHSHHHDDCPPDCPPPTPSCHHTPCTPDTHSSSP
Blank	2	BCHBBTB	SCSSDTB	HSCBBST	PTBCBTC	BPBSCTP	BSCDTTT	UNIQUE	BCHBBTBSCSSDTBHSCBBSTPTBCBTCBPBSCTPBSCDTTT
Blank	3	BCHBHTT	BPCSBBD	PPSBSBP	SPSDPTP	DDPCTHP	SHHPCSD	UNIQUE	BCHBHTTBPCSBBDPPSBSBPSPSDPTPDDPCTHPSHHPCSD
Diamond	5	BCHDBBH	BCPTDPD	PBDHDCS	DHPCBBP	HDPSPBS	CBTCSHT	UNIQUE	BCHDBBHBCPTDPDPBDHDCSDHPCBBPHDPSPBSCBTCSHT
Blank	4	BCHHBDT	DBHDBCD	TBDBHCP	PTSBPSD	BDTSCCC	HHPDCDP	UNIQUE	BCHHBDTDBHDBCDTBDBHCPPTSBPSDBDTSCCCHHPDCDP
Blank	3	BCHHPSP	TPPPPSB	PSCPCDH	SDSCPSP	PHSCCPS	SBSBDTS	UNIQUE	BCHHPSPTPPPPSBPSCPCDHSDSCPSPPHSCCPSSBSBDTS
Blank	6	BCHPPBH	PSHCSCC	DHBHSSP	HSCBBHC	HPCHBDT	HHBSPCH	UNIQUE	BCHPPBHPSHCSCCDHBHSSPHSCBBHCHPCHBDTHHBSPCH
Blank	1,3,6	BCHPPCT	BBSTSCS	HSBSDBP	DBSPHSD	BTDTBTH	CPPCSTH	UNIQUE	BCHPPCTBBSTSCSHSBSDBPDBSPHSDBTDTBTHCPPCSTH
Blank	2	BCHPTTP	HPHSTTS	CTCSDHT	HBHCHDH	CHBPSTC	THSDPPS	UNIQUE	BCHPTTPHPHSTTSCTCSDHTHBHCHDHCHBPSTCTHSDPPS
Blank	5,6	BCPDTSD	TCHBDBH	DBHDSHD	SPPHDTS	DBHBCTH	DPCDTTB	UNIQUE	BCPDTSDTCHBDBHDBHDSHDSPPHDTSDBHBCTHDPCDTTB
Blank	3,6	BCPPPDD	BBSBHSS	HPSTPSS	BTSHPTP	TCTSPBS	SPTPBHC	UNIQUE	BCPPPDDBBSBHSSHPSTPSSBTSHPTPTCTSPBSSPTPBHC
Blank	3,6	BCSBPPB	DPHHTST	PHSBPSS	TPBPHPB	SPBSHBD	TCDSDHP	UNIQUE	BCSBPPBDPHHTSTPHSBPSSTPBPHPBSPBSHBDTCDSDHP
Blank	3	BCSCBDB	DTHDCCD	TBDPSSS	PTCCBBS	BDBDTPB	STHTCPS	UNIQUE	BCSCBDBDTHDCCDTBDPSSSPTCCBBSBDBDTPBSTHTCPS
Clover	1,2,3,6	BCSCCCH	DPPCTBT	DSPSCHH	BBCHBPP	BPCDDHC	DHSHHPT	UNIQUE	BCSCCCHDPPCTBTDSPSCHHBBCHBPPBPCDDHCDHSHHPT
Blank	3,4,5	BCSDPSD	CHCDBDH	DDCBSTH	BSHBTCD	PBDHCSC	TSTDHDD	UNIQUE	BCSDPSDCHCDBDHDDCBSTHBSHBTCDPBDHCSCTSTDHDD
Blank	1,4	BCSHDHD	BBPPHSS	CPHBDBT	CBPTCBS	BDHDDTS	PHCPPTH	UNIQUE	BCSHDHDBBPPHSSCPHBDBTCBPTCBSBDHDDTSPHCPPTH
Blank	2,5	BCSHPST	DSDSDSD	SSCTHSP	DCDCBDP	SBDDBBP	TPSDPPC	UNIQUE	BCSHPSTDSDSDSDSSCTHSPDCDCBDPSBDDBBPTPSDPPC
Diamond	3,5,6	BCSHTBC	PCSPHTB	SBPBCPB	TTBBPTP	BBHHPST	TDCPSBD	UNIQUE	BCSHTBCPCSPHTBSBPBCPBTTBBPTPBBHHPSTTDCPSBD
Plus	3,4,6	BCSHTHH	STSBSCH	HHBSTHC	SDPHBCT	CBHPHSB	DPPSHDP	UNIQUE	BCSHTHHSTSBSCHHHBSTHCSDPHBCTCBHPHSBDPPSHDP
Blank	2,5	BCSPDHC	BHSCTTB	TPHCTCC	HTTCTCT	HTPBDDP	BHSTDHP	UNIQUE	BCSPDHCBHSCTTBTPHCTCCHTTCTCTHTPBDDPBHSTDHP
Snake	1	BCTBCBD	BDHHBDD	SDHHCPP	HDSDDCT	SSTDHTT	THTBDCT	UNIQUE	BCTBCBDBDHHBDDSDHHCPPHDSDDCTSSTDHTTTHTBDCT
Hex	2	BCTBPSC	TDSDPDC	TSSDCPS	BBSBSTP	DCBSCHP	CPDPCHD	UNIQUE	BCTBPSCTDSDPDCTSSDCPSBBSBSTPDCBSCHPCPDPCHD
Blank	3,5	BCTDHCP	BSBTPTT	HCTBCSH	STTHTSP	DSPTTHD	TPCHTHP	UNIQUE	BCTDHCPBSBTPTTHCTBCSHSTTHTSPDSPTTHDTPCHTHP
