Image	Piece	Links	Code 1	Code 2	Code 3	Code 4	Code 5	Code 6
	Blank	1,4	TCDCPSH	PBDHTCT	DBPCHHD	SCTDBSP	DSTDBPD	CCCPDCH
	Blank	6	SPCHDPC	TCDSBSC	SCBDSPD	BDBSDPD	PHSPBHD	SHCBHPB
	Snake	3,6	SDCPHDT	CCPSPSP	BTDHSSH	BBBBBBB	HSDPSTC	DDSPBHH
	Plus	2,4	HDDPTDS	BTBDBDB	DBDCDDC	PPSTDCP	TBBPTHH	PHBDPDP
	Blank	3,5	TCTPHTH	PDCPSBP	TPPPHTP	BBDHDBH	BDCSSPT	HHCBSPD
	Blank	2,6	CDBDTSS	BBPCBCS	DDTBDST	CCTHTTS	THPDSCT	DDCCTDP
	Diamond	2,6	TDCPBCP	HTPDHHP	HDCDBBT	SCPSTSS	PSCCCTB	CCTHBTT
	Diamond	2,3,5	BCCDDCP	PCTPDST	STDDCSD	BBBBBBB	TBTTDHB	PHCCDSC
	Blank	4,6	PDDHHHH	DPBSHST	DBDCPPH	SCDSCDD	HSCHSCP	SCDCBPS
	Hex	2	BCTBPSC	TDSDPDC	TSSDCPS	BBSBSTP	DCBSCHP	CPDPCHD
	Diamond	4	CPSTTTC	BBBTDPC	STSHPPB	HDPTTTH	BBSSSBP	DTPDHCT
	Blank	4	DCDCCHT	DCBSCHP	PDBSTDT	CTHTHHB	DHPDTHP	TBDTSCC
	Blank	6	DCBBSTH	CDPDPDH	STBDSDC	PPDPCBP	DHHBBPC	CSTBHPS
	Hex	2,3,4,6	CHDBPCH	TCTCBDC	TPDDTPS	TBSHCPH	SSPTTTH	BCTSPBB
	Plus	3	HDPBSDS	SSTCTDS	TCSTSHH	CHDBPCH	DHHPTHT	STDPSSH
	Blank	1,4,5,6	HDTSPTB	DCPSHTD	STDTHPH	SCSSBCB	SSSCSCH	CHBCBDT
	Clover	1,2,3	PDDSCCH	TCHPBBP	PTHBHBB	BBBBBBB	BBBBBBB	BBBBBBB
	Snake	4	BDTSHST	TSCTBDP	SPHBHBH	CPPHSDH	CSCPHSS	TTPTPHH
	Blank	2,4	DCCDBCP	CDHDSHP	CTCHBCP	STTHHBS	TDTDSSP	HCSCDHS
	Blank	1	SHCHSSD	CBCPSSH	PDBPDCC	BSDPDPB	CCTSHPS	CSHCTTH
	Hex	3,6	SPSDCBT	THTTTHT	DDSSSSH	BDBBTCS	HHPBDPS	CTSSTPS
	Plus	3,5	SCHDPHB	DHHPTHT	BCTSPBB	DBSPTSD	BHPBDBT	DTDTTSC
	Clover	5	PHTPSSS	THHPSCB	THDBCPT	HTHBBTS	HSDDTPP	TSDPCPB
	Diamond	5	CCCBHBD	PPHPSBT	DBDBTTD	TCDCHCB	DTSCDTT	DHDSSDC
	Hex	2,5	DBCSSCP	DDSCHTP	HTCPDCS	SDPTCDC	TTDPHSD	BPHBBDC
	Blank	3,4,5	TBPSBPC	BCCBDTS	CHDPSDP	BDSPTTS	TSCCHHS	CHDCDCB
	Blank	5	BHCBDPC	HHTTBST	THCSTBD	BBBPHTC	CDDHSPC	BHDSHHT
	Blank	1	BPHBPCP	BBPPDTP	STSCBDB	HDSCHTS	BDBTPTT	HTDBBBT
	Hex	2	HHHCBCT	BCPHPBP	PPBTSBT	HPTCPCP	PBTPPBT	CDPCSCB
	Blank	1,3,4	DPBHBBS	DHTTSPT	HPBBSHS	HCBHCPT	DSHHPHH	PPPBHSB
	Blank	1,3	STDDCCB	SBPCCDB	PHCTBPT	HSBCPPH	DCHTPHB	HSCTTST
	Blank	2,3	DBTHCTP	DSPPCTS	HDHBBHD	CTPCTHC	PPHBCBB	HTPTPHT
	Plus	2,5	PPCHDBB	TCBTSBH	DCBHCDP	CTSDTCB	HTSHPBS	BHSPDPP
	Snake	2	DBSPHSD	SHSDTSD	HTHTHBP	HSHPHHT	CTPTTHS	BHHCTCH
	Blank	2,6	CHDBPPT	DPHCDSS	CHPTPSB	DTDDHSS	BTTBHTB	CPHSDPP
	Diamond	5	THCCTTD	CSPDDTH	CHCHSBP	SHPPCHH	BCPDPBB	TPSSPSH
	Blank	2,6	SSCHTHH	DCSHPCP	HDBSPCD	HDDDDTB	DTDDPSS	CSTDCPT
	Blank	6	BCHPPBH	PSHCSCC	DHBHSSP	HSCBBHC	HPCHBDT	HHBSPCH
	Blank	4,6	BPHPTHS	DHHDBTH	HPTSPSC	CDDCDCC	BHTBBDP	SDSPSDS
	Hex	4	CSCHPTB	CBHDSSH	SCCTCTS	HTCDDHC	CCPTPCB	SPCTHBH
	Blank	3,4,6	SCPCCHS	BDSTPBP	DDDCSTS	CDHDSSH	PHHPCPS	DPSHSCS
	Blank	4,5	TDBDPDP	BBSCDST	PCBHCHT	HBCHHTT	TDTSBSH	PHPTDTS
	Blank	4,6	TBCSPCT	DBSBSTP	DHBDBPH	BBTTDTH	SHCTPPP	PPHSSHC
	Snake	1,5	STHSCPH	PSCTHPB	CBTTPBB	DBSDCSP	CHSSHHC	TCPSBHT
	Blank	4,5	HPPBCBD	BBTPSPS	CDDDSCD	DPCBHDS	DPPHPCP	HHTCSDH
	Diamond	3,4,5,6	SSTPTCD	BBTDSPD	PCSPCPT	CBBTBTC	CPTSCHB	TPBSDPB
	Blank	3,6	BTBBBPB	CHCTTPT	TTBPTCH	DSSTPSH	DCTCBCH	CBBHBDD
	Plus	2,5,6	BTDPSBT	PDCCBHT	BSHHHDB	BCCPPCC	BPDDBHS	PCBPSSH
	Blank	1	STSPPHD	STSHSSP	DBDDSTP	BTDBHCB	PTCHBHP	BBBBCBC
	Diamond	5	BPTTTPH	PHDSHSC	SHSSDPH	CCBPBCH	SHSBCSH	SSSDPDS
	Blank	1,4,5	TTCHDHP	DTTBTPD	CTPSCDD	SDBSDPS	TTBBPSS	HCBSBHB
	Blank	2,3,5	HHCDSBP	HTPBDDP	SHBPCTC	BSDTBBT	SHBSBTD	CCPPTDB
	Snake	2,5	HCHSTDH	BHPBDBT	DDDHCDS	STDSHPT	TCHPBBP	TSTPDHH
	Diamond	1	PSPPDPP	CSBHTSB	CPDTPPP	SHPCCCC	BBSBHSS	BCDDSBP
	Plus	1	CPHPDPB	BBBBBBB	BBBBBBB	HPPBSBS	PSCBHCT	HSBSTTC
	Blank	5	DBCBCBD	CTTPBPB	DHCPPTB	HCCHCCT	SHDPHHB	PCPPBCB
	Blank	3,5	DPTHBSD	STCPPPC	PBCTTPP	PBDDDHP	PCSCCPP	PPPHBHB
	Blank	1	BBBCPDT	TDSSHTP	DHSSSHP	TTCCPBC	DPDPBCT	BBTDBSB
	Hex	1,4	TDTTDDD	PBDPTDT	SPCTSCD	CPBCDDH	CHHHTBC	BCHTBBC
	Blank	3,5	TTSHTHT	BPDSPHP	HDSPBCH	PPHSTCD	DBBSPCS	STDDDBB
	Hex	1,5,6	BPTDSBB	BBBBBBB	BBBBBBB	CPHCHDS	TCTCBDC	TCSTSHH
	Plus	1	CBBCHDB	SSHPSPB	TBHBBPH	BHBTSHB	HSBHPPB	PSPSPCS
	Blank	3,5,6	BDCHHPH	DPPHTTH	HCTCDCT	DTSCSDH	HSDHHSS	TDTHCDD
	Blank	1,5	BTPTPBC	DPDBTSH	PCBBDDB	SDHCSDP	BSDBHHH	HDDHDHT
	Blank	3,5	CSTCHDT	HHTSTCP	CPSBPBS	TPBCCCC	DHCCPSD	CSHBBPP
	Blank	1,2	DBCTDSB	PTHHHBB	HTDSDDS	DHSTHSS	TSSTHTH	TCSHCHC
	Blank	2	TDDCPDS	TSDCBPT	SDTBBHD	HBTBHTT	SDDBBDC	CDSTCTD
	Blank	2	TTBSSCC	DPCPCPB	PCTCSHP	BBHPDSH	TPPHCPH	BDBBHTD
	Blank	2,5	BCSPDHC	BHSCTTB	TPHCTCC	HTTCTCT	HTPBDDP	BHSTDHP
	Clover	2,3,6	TDHCDSS	HDBCDBH	BSTDHPB	BDDTHHT	BDDPTDB	CPDDBSH
	Blank	2,3	TSHTPPB	SHBCHCH	SSPBSBC	DDTPBCB	BBBBBBB	BBBBBBB
	Blank	3,6	DSCDBPS	CPCSSBB	DSPHHDS	HHPBTDP	HHCDCCB	BBDDTDC
	Blank	5	CDPDBSB	DBHHPPS	HPTBHTT	CBPBHPT	SSPBSTH	SHDDPTD
	Blank	3	BCDTTHP	TSSCHDP	DPHPHTB	TCHDCPT	TCTHTHC	SPPTSSC
	Blank	1	CDDHDTB	BBBBBBB	BBBBBBB	HHDDHHH	HTHCPCC	HHCPPDH
	Diamond	4,6	TDDHBHS	PBTHPTB	CTDHDBH	SBDPBTC	SDTSCPH	THBCBBS
	Clover	5,6	DDCDBDC	DSHSTHT	DSTPPCD	PSTBBDP	SHBHBSS	SSDCPPC
	Clover	4	BBBBBBB	BBBBBBB	CPSHHDH	SSTHTPD	HSHCPTH	BBBBBBB
	Blank	2,4	CDCCTDT	HSPTDHH	BTTSSPB	DBCBSSC	SHDDDPS	CSPSHCH
	Blank	2,3	DCTPPTP	PDHTDHH	DSCDCTC	PTHHPPP	TSDSSTB	TSSCPTH
	Blank	3,6	SCCCDSD	HTCHBPD	DCBSTSS	TDBCDHP	SSSHTBB	HCTBPTS
	Plus	2,4	PHCHCBP	BCBTTSD	PBTSCTH	STTCSBT	THHPTDH	SDHHCPP
	Blank	5,6	HSTTDTS	SSPTDSD	PHCCDSC	PTBHTTC	CSBTDCP	STTDDCS
	Clover	3,5,6	TSDHCHS	TTHBSSS	CPPPHCC	CDHCTCD	HDTPSSB	CTDBCSC
	Blank	2,3,6	CDCDPBB	CCDBBHB	CCSDTDD	HBSPSPP	TSPDCSS	SHCSDPT
	Snake	1,5	CDHSTSC	PHTBTBC	BTBHTST	PSTDBCT	HCPBSSS	SCPDPSB
	Blank	2	TCDHSCB	DBDCCBH	CCTSTHT	BPSCHST	SBDTHDP	DHPDDSD
	Blank	1,2,6	DPCDDPB	PCBSTPH	HCTPHDB	DPTCBTT	CBPHDDT	SPHSDTT
	Snake	2,6	DPCDCBC	SSHBBDS	TPSSPSH	DCBTHCC	PBTDCDB	CCHCCTP
	Blank	3,6	HSPHBSD	DPPHCHP	HHHHDST	SCPDHBS	DPCTBTD	TBBSCDD
	Blank	2,3	TDBPBCC	CTPPSDS	HTSDPTD	CTSSDPD	TDDCHTP	CCTSPDT
	Diamond	3,4	HDPPHPD	BTDTSSH	PTHPCDC	SBBPDPB	SHPCCSP	CCBCHCD
	Blank	3,5	SSBSPDS	TBBPTTT	TPSBPST	TSHTTDT	BHHBDCS	PBTBDPC
	Blank	2,4,6	STCDTBD	PBDBDPP	DBCBTCC	BPHBTBP	SSDHCCT	SBCPDSP
	Blank	2,5	PSDCPBS	HDBSPDC	CDTCDSB	DCCDPHB	STSCCPP	CSHPTHB
	Plus	3,6	SDTPTCH	HHTTBTS	HTBDCBH	HCTPPSH	BPPCSCP	CCPSBTD
	Snake	3,5	BDPSDCH	TSDBCTH	PHCHBPT	CPCHSSD	PCTBPBC	BPTBSDS
	Blank	3,5	TDCPTPD	SCDTSCH	TDDTCPT	BDTSHST	PHTBCSD	SHBPSTS
	Hex	1,5	TDBTBHT	PDDBTSP	CDPSBCC	PPTPHTH	PSDDPPS	TDTBSST
	Clover	2,6	CPBSDSD	TBCHDTH	SHCDPCC	TDTTTSB	SDBCCHP	DCPPSPS
	Blank	5,6	DPBSDTT	THDSBBC	BTTPHDS	TDCPBCP	HDBDPDT	BCSCPHB
	Blank	2,3,6	PCSHSHB	BSHBSSD	HHTDCDD	TCCHCTS	DBHTPSC	PBBDHTC
	Plus	3	HTCBPPT	HBCBDDT	CHCDHBC	SDSCDHD	DTBCBDS	DHSTDBH
	Blank	5	BBBBBBB	BBBBBBB	BHSHDBP	DBSDPBS	HDSTHHT	BBBBBBB
	Snake	6	BHHBSSC	HBHHCCP	SSDHTPH	BHDHHBT	PDPSBCH	BHBCDPP
	Blank	1,4,6	DHBTSPB	CHHHBDS	PHCPPTH	TBHCPTT	PTHSHDS	DSTCCDC
	Blank	2,3,6	SCPDSTC	SDBTPBH	BCSCPHB	CSSDCPD	CBCSCTD	PDPPCPB
	Blank	2,5	CCCBSTS	TDHSCDD	BTCBDDC	TTDPPHP	BBTPPHT	DSBCHSD
	Blank	5	CHTTSPT	HTBSTTB	PPHDBDC	STSTTHC	TPCPPCP	PHDCCPB
	Blank	2,3,5	DCTBTHH	HSBHHDT	DBTBHCC	PDHDHCS	TCCSBSS	SBHPHTT
	Blank	5	DCTHTCT	BSHHTCS	SHPHTSB	CBSDBDB	TDCSHHT	TDBCTPC
	Plus	2	DDDDCSB	BCTTSTT	PPPBPDT	BTDDPHB	CBTDBSB	BPPSDDD
	Blank	3,6	TPCBTPD	SBBTHCC	SDPCCBT	BPPTTPB	THDTCCD	BTDSSHP
	Blank	4,5	CPHCSHS	BHHCPSH	TCSHCHC	DPDPHPB	CDCBPHD	BCHBHSB
	Blank	1,5,6	CSTPHCS	BCHBPBT	TTTBSTB	PSBTHSP	SHTBCHT	CHSBDTB
	Blank	2,4,6	DBSHSPB	HTSHPBS	CSSPDTS	PSBTSSS	CPTSDCP	TSSPBDD
	Blank	5	BPDDDPS	BHHTBTC	CCHTPCH	PPCHDBB	DCDHDCT	BPCTDDB
	Blank	1,2	DTTCSBD	DDDPSST	CBBHDSC	SBTCTSD	CBHDCSB	CBCPTPH
	Blank	2,3	TDCPSTD	TPBDSPC	HSPCSTS	PSCDTPP	HSBTTDH	HSPBHCS
	Blank	5,6	BBCHSPD	TPTTPCC	BBHBPPT	CDSHSSB	SBDHDDT	DHCSTPD
	Blank	1,3,4	BBHSDTD	STBSDST	SCBTBHT	HHDSBCD	DCPCHCS	CCBHHHC
	Blank	2,3,4,6	CCSBHCD	DCSTHDT	SHTSBST	HBTBHBB	DTCSDDS	SHTDTSD
	Blank	1,5	CHBCSSS	HSHBBDS	TDDHBBC	CSBSBBT	CTBDHDP	PPBHPSB
	Blank	2,5,6	DDPDSDC	CHDTDHD	CCCPCSS	CTSHTDT	PPTCCHH	PDHTPTT
	Blank	5,6	DSBTHPP	PPSHPHT	SHSTTDD	BBCDDCD	THTSTSH	TDHPBDB
	Blank	1,2	HBSDHBS	TBDTHPB	DHPTTPC	DPTPCCT	BBBBBBB	BBBBBBB
	Blank	2,5,6	PCSSTPT	STTCHPC	SHPTCSB	PHPSTBT	TDDHPDP	CBDSSDH
	Blank	1,4,5	PPBHHPS	PSPDPCD	HHSDBCT	SPBBHBD	TTCPDPC	PTBPPTD
	Blank	5,6	SPDHDSC	TSTBPCH	DHPBSTS	HSPHTPP	TCSBSHT	TTCHTTS
	Blank	6	STDBCDS	PBCSBDH	PDHSDTH	DBTHCCH	SBCPPTC	DBPCHTB
	Hex	2,3,4	TBSHPST	DCHCDTD	BHTSTCP	STDDSBH	TPTCTDS	DSCTBCD
	Blank	2,5	THCCBSD	TTCSPSD	BCDBBST	DCTBTHH	CHHBDHH	HDDCPBT
	Blank	2	TSSPPTS	PTSPPHH	DSCTPBD	PPHDDTT	BTTHDST	CPPHCDC
	Blank	3,5,6	TSTSPSD	SSCBCTS	HDCHTPB	TTCCHSC	BBHDPHS	DTCCPTS
	Blank	2,5	TTPPBBT	DTBTBDC	THPTSHP	HHDSDCS	STHHPTH	SCBSPBP
	Blank	3	TTDCBTB	PPPCDDP	CHHHBSP	SHDDTTT	SCDTDDC	BCPBTBD
	Blank	4,6	CSDTCDB	CPDPCPC	PBHDBSC	TPSDPPB	BPHHBCC	CTDCSSH
	Blank	3	DTPDBBT	CBDSHSC	CSHHCSB	BHTCSPD	HBDSBSD	HBHPTPB
	Snake	3,6	DTHBCCS	BDTTPPT	HBDTTST	DHHBDPD	CSSDTDP	CPHTSPD
	Blank	2,3,5	DPHTHPH	SHDCCTP	SCDPPPS	CCCDSSD	DBBBHPP	SBPSPST
	Blank	3	CSBPBDS	PSHSBPP	SPBCHPP	DCBTCTC	SHBTTDT	SDDTHPT
	Hex	3,4,5	TCSCHCP	HTDTHHD	TDBCTSB	DDBBDHP	TBSSBCP	CTDPHTD
	Diamond	2	TCSSBTT	BDTBTSH	DTBDBSP	CTCPDTC	BCBSPBC	BCPPDBB
	Blank	5	BDHSDBD	TPBBHHB	HHSHTDS	PDHHBHT	TTHBHSH	BCDPPCT
	Blank	1,4	DTCDCPC	TBDHCHT	CCPDHBD	BHBSDSB	SDBPHHB	TTHPSPT
	Blank	3	DTCBCHP	TDDSDCH	TSDHCTD	BTHCTCP	PHDSDPT	PTCTBTS
	Blank	2,5	CBHPHTS	BTTPHPH	DDCDCST	PTBBPTS	PHDDBDS	BPCCBPH
	Blank	2,3,4,5	DHDSCSD	PBTTHHS	TCPTHCB	TCSSSCP	DCHDTCT	TCBDDDP
	Blank	1,3	CSHDTTP	DBPHSCP	PDHSTPH	BBBBBBB	BSHBPHC	HBBCDHH
	Snake	2,3,4,6	PDCDDCD	CHTSSCD	SHTPCCC	CHPSPSB	TPDBDDP	CDBHCBT
	Snake	1,4	SCDHSHC	TCHDPHH	DBDPSTS	TPDCTCP	PHCTPPD	HCBPTDC
	Blank	3,5,6	STDHCCP	BPPCHCT	CDDBHDH	HCDCBCC	DDSTDSC	DBDBHCD
	Blank	1	TSBBTSD	PCTPCCB	CPDBSCS	BHBSTCH	HCDPDBH	SSDHSPP
	Plus	1,5	TPHCDBT	HHTTPPC	CTPHTTC	BPHCPDP	TTTSCHC	PPCCBHH
	Blank	2	CBDPHCH	PPHSHDT	DSTTTDT	PHDHBHD	BBBBBBB	BBBBBBB
	Blank	2,3,6	PSPDBBH	HSCDCPC	HCTBCTH	PDDDCCB	TCBDCTT	CHSBDDC
	Blank	3,6	THTPHTS	TSCBSCD	DHTHHTS	CSDTDTC	HDPPPBT	BTPPHBB
	Snake	4	STPCSST	CCHDPTT	BPBDDDP	DHCDPSH	SPBDPHB	CCCPPPH
	Blank	3	TBBHCPT	CTHSTCH	SHDCTSB	CBHDCCT	DTCCCTH	HSCBBST
	Blank	2,4	CDTDHSB	TBSCTHC	SHTPCHS	CTBHHDP	BDDCSSH	TTHHHCH
	Blank	3,5,6	HSDBDCC	PPTDPTB	SSDDCPP	SSTTDCB	BHDDDSS	DTDPHSH
	Blank	2,6	CTHTHCC	CHPDPCH	HHDHHHD	CSBCPPC	TPSBHHH	DTBBHHB
	Blank	1,2,6	HPSTBPT	SPPDDBH	PDPHCHT	DSCSHSS	HDBHBCD	SSSCCST
	Hex	2	SSPPTHH	SSPBCSH	PHPDSPH	HBHPCDD	PBSBPBH	CCPDPTH
	Blank	3,6	SPPPHBH	PDPBCDD	DPTPTDH	PPHSDCC	THCTSDT	BTCHBDP
	Plus	1,3,4	BBDPSSS	DSTBSDB	SHTCCTT	TBDTSTH	STTCHPH	BBTBSHB
	Blank	5	BCTHTHD	BHBSHBT	CHHPTPT	PPCSCPD	BSPHSDP	PSPDDHP
	Blank	3,6	SPBBTCB	SSPCCDD	SDHSTBC	CPSCTTB	PBDCTST	BDTPTBP
	Plus	2,3,6	TPPPSTS	BPBDBPH	PSCHTCS	BPDDDSB	BTSTSCP	DTPBDTD
	Blank	1	TDBTHSP	TDCPTHD	CBBHSPS	HHPHPTS	CBDHCHH	CDPBSSS
	Blank	1	BCTHSCB	BBBBBBB	BBBBBBB	PSCDTST	CBPSTSD	BDTCBCP
	Blank	4,6	HBDHHTC	BHHCSCD	PCTHSTD	BTSBSCC	SHCDTCB	DBPHSSH
	Clover	1,6	BHHDHCP	BBBBBBB	BBBBBBB	BBBBBBB	BBBBBBB	DBCDBDC
	Blank	5	TSHHTDH	DPBCPPC	BCDPCBP	BHCDDTD	TDCPBDP	CHPTSBC
	Blank	2,5,6	TSPCCDH	CCCHHBC	HCPSPHS	TTPHBHH	PBSHDPT	HPSCPBP
	Blank	1,3	CHDBDBH	CCBHDDH	CBSDDSP	CBCPDPT	BSPDTPC	TBSTCTC
	Blank	1,4	PBPCBCB	DDDTDPT	HCSHCTD	HDPPCHH	CHPDTPH	CHSTDCD
	Snake	1	DCCHHDC	BHBSDPB	CSTSTBS	PSHPDBH	PCHPBSP	HBDDHTP
	Hex	3	TBCPPSB	HPPPDCB	DBHBCHD	PBCSCCH	TTHBDSD	CDDDSHD
	Snake	5	TTPCBCH	PTSTTCB	STTBSDS	HSDDCHT	HHDHDTT	PHHTHPB
	Hex	2	CCTSHBT	DPCPSTC	HPCSSDS	TDTHHCP	DPSTPDC	PCHDSBB
	Diamond	1	CTHSBDC	DSDPHTB	DCBDSDS	HSDBDCC	TBHDCCD	CCBHSSC
	Clover	1,4	PCCTDSS	BTBSPTH	STTDSCT	SCTDTDS	PPDTCPC	BPTBPPS
	Blank	4,6	STCTCPS	CHCBPSS	SCDSDPH	HHPSDDS	PSHSBPP	HPHHDTB
	Blank	3,5	BBBBBBB	BBBBBBB	DPCDDDP	TCTTSBH	SPDPCDC	BBBBBBB
	Blank	6	STTSBPH	SHDHTSP	DCHDBBT	CSDPSTH	CTCBTTS	PHCTBPT
	Blank	2,4	CHTBBBH	SPCBCHS	SCHBTCS	PPSCSTP	PDCPHDD	HHCSHBC
	Hex	1,5,6	BSBDSSB	CPBHBSB	SHSTCSS	PTBDPDB	BBCHHSS	DCHBHSS
	Blank	2,5	THSBBSC	PBTCCCB	PDBHCCS	DSSBDTP	HHHDSPP	CHCHDPC
	Blank	1,2,3,6	BHSHDTD	DSBTDDS	TBBTSPP	SDTTCHD	HCCSHDS	BTSCSSD
	Blank	1,4	TSPPCDH	BBBBBBB	BBBBBBB	BHHDHCP	HPPBHSH	BBSDHBS
	Blank	1	TBSBSCB	SPPBCHH	TCBCDCP	BPTCTPS	PDCPPTC	CDDPTPD
	Diamond	1,3	CPPHTBT	SCDHSSH	HHCDTCC	TTBSTHS	HDBDSDD	PSDBSSH
	Blank	3,5	PCHTCTB	PSHBBTB	BCDHTHS	DHPBCTC	PPDCPDB	CSSBPTB
	Clover	1,2,3,6	BCSCCCH	DPPCTBT	DSPSCHH	BBCHBPP	BPCDDHC	DHSHHPT
	Blank	2,6	HTTHHCS	BTDDSCP	SDPSTDT	HSCCTPH	BCCDCHC	DPSSDBD
	Blank	5	CBBBTSH	DSHCCDH	TTTCHBB	SPSSSHS	CBCDHBB	SCTCSDC
	Blank	3	HDSDDCT	THHPTDH	STPTBHT	HCSTDST	CCPSPSP	CBTBSCC
	Blank	5	SSHTCBP	PHDSDPT	BCPSCDS	CBCTDHT	DBPCBST	DTCCCDP
	Plus	1,2,3,5	BPBTPHP	HHCPSDH	TCCSCHS	CDCCPTH	HDHCHTD	CTTPPCC
	Hex	1,5	PBTTHST	PBDSBDS	DHSTCCS	HBSHTSH	DCCBPSS	HHDSPSC
